,review,shop_name
10,位置：好找！門店位於錦江區大慈寺中紗帽街8號成都遠洋太古里西里西街。交通：方便！Metro Line ②、③：春熙路站。菜品口味：好喝！第一次喝熱飲【西班牙豆奶拿鐵】，口感很獨特，香醇可口，濃鬱絲滑。服務態度：滿意！疫情期間，咖啡師都佩戴口罩。帥氣的男咖啡師親自制作，鬱金香🌷拉花很漂亮。環境（空間、布置）：不錯！門店干凈整潔，室內室外都有座位，空間設計比重慶店好。進入門店點單和取餐時，正趕上咖啡豆烘焙，整个门店都瀰漫著咖啡豆烘焙的芳香。价格：小貴！,% Arabica
11,🌧：下着小雨的早晨所以竟然在三伏天选了热咖啡☕：早上来人不算多，没有排队，很快就喝上了一杯拉花精致的拿铁，可能是强迫症，为了不破坏拉花，小心翼翼从边边上顺着喝完的。[薄荷]：外观设计像座明媚的花房，通体镜面正对落地玻窗。可以选择照着镜子喝或者对着窗外喝，闺蜜自拍，独自小酌看景都是绝佳的。FYI: 对比星巴克的同款，这家奶味浓郁，一点不苦，不常喝咖啡的宝宝也可以喝起来，就是价格小贵。喝的时候还突发奇想，希望下次喝到的拉花是%的形状,% Arabica
12,这个网红咖啡人总是那么那么的多 西班牙拿铁吧算是好喝 入口香滑 最主要的就是感觉满口的那种香气 在嘴里回旋 妙啊 买了点豆子 包装的还算精美 他们家的杯垫特别喜欢 拿了一个回家 哈哈哈服务员也挺热情的 哦 柠檬汽水也不错,% Arabica
13,网红百分比咖啡，2019年进入成都，2020年7月终于和闺蜜来打卡。太古里纪梵希旁，位置有点偏，但一点不影响大家对百分比的喜爱，客人是源源不断。主打简约原木色装修，以白色为主，配以原木和和淡工业风格的装饰，通俗又不失大气。两排座位，舒适度不高。点的冰拿铁，选的是综合豆，一杯价格40元，份量不多，但咖啡的口感，回味都相当不错。红是有道理的。,% Arabica
14,去年的太古里第一网红店，今年生意依然好，但终于不用排长队才能喝到。我通常不太看好“网红店”的品质，但arabica除外，咖啡的水准，对得起“arabica”这个代表优质咖啡豆的名字。懂行的人知道，与星巴克相比，arabica的另一大优势是优质燕麦奶，朋友今年在曼谷Iconsiam开了泰国第一家arabica，为什么进度这么慢，就是因为泰国一直没有贸易公司做这个牌子的燕麦奶。所以，结论就是，在arabica，点拿铁比点美式好！arabica在全球都是走小而美的咖啡店路线，太古里这间算大的，而且，遇到阳光倾城的日子，这座白房子是真的美煞我了。,% Arabica
15,红极一时的网红咖啡，现在没人排队了才有兴趣去打卡，毕竟内心住了个老头👴吧。📍地址：在另一家网红餐厅let's seafood对面，大概从Givenchy的口子进来右转，在西里这边，大慈寺西边的小巷子里。[薄荷]环境：原木色+白色，禁欲系最爱，适合拍照。打卡地点还可以坐在靠窗户排凳上，让小伙伴从外面拍。[服务铃]服务：没啥可说，小姐姐做咖啡的样子还是很认真的。☕️咖啡：一杯拿铁，blending一杯美式，single咖啡真的没啥大感觉…重度烘培之下都一个样，牛奶倒是真的好喝，入口绵滑奶香浓郁，听说是明治专供。当然，来这里真的是为了喝咖啡的么，当然只是路过打卡+拍照📷。,% Arabica
16,%咖啡在附近必定是首选 周五中午过来人不多 出品很快  「冰美式综合豆」 咖啡爱好者夏天必点款 综合豆口味均衡 醇厚度偏高 「综合豆热拿铁」朋友点的热拿铁 树叶拉花娴熟 适合这个季节🌿🌿🌿  咖啡跟牛奶的融合 入口丝滑 醇香 店铺装修白色简洁，而不是内容。室内卡桌的一面镜子可以拍出美美哒的照片 此图都是原图 成都%咖啡最有特色的地方就是设有 烘焙窗口 顾客可以直观看到 烘焙咖啡豆的过程 到包装 咨询到咖啡豆均可售卖  能买到豆子自己回家研磨做咖啡是一件很幸福的事吧,% Arabica
17,🤎走过很多城市 还是怀念这杯香醇🤎% Arabica真的是走哪喝哪，走过很多城市，只要有% Arabica在的地方，就一定会去喝几杯~💟成都太古里这家店的装潢还是一贯的% Arabica的风格，简约中带着时尚，还有些许的俏皮☆♥︎「秒杀星爸爸的西班牙拿铁」% Arabica用的是明治牛乳，西班牙拿铁是偏香甜的口感，不喜欢搅拌，喝这口自然渐变甜，口感丝滑细腻，牛乳的醇厚和咖啡香气综合形成浓醇的口感。咖啡的苦味醇厚香浓，但却非常柔和，喝一口便爱上的味道冰的也好喝❄️♥︎「综合豆热拿铁」拿铁是我每次去% Arabica必点的，真的很爱了，又非常提神，醇香柔滑超好喝拿铁在这里真的很优秀~颜值在线又好喝的咖啡，赶快来% Arabica MARK一杯吧✨,% Arabica
18,🍵%☕️在上海一次没喝大老远跑来成都[薄荷]环境：怎么说也是坐落在太古里的%，标志性绿植背景墙和%，没有拍照是因为只想喝咖啡。开放式的座位，有设置里面的座位也有设置外面的座位，成都不愧是成都，全都是好看的小哥哥小姐姐🥛🍵☕️「燕麦抹茶拿铁」因为当时已经挺晚的了，正好酒店住在附近，想来打卡也是十分临时的决定。这家店在上海都开了好久了，我也没想过去打卡，不晓得为何，可能就是怕人多；但来成都就不一样了，因为不是自己生活的城市，人多都显得理所当然 没有看推荐，就忙选了这杯，毕竟任何饮品，抹茶🍵都是我的优先考虑。味道还是挺不错的。[服务铃]服务：看图说话吧。可以感受到成都的悠闲热情生活吧反正下次还会再去成都，再来打卡吧,% Arabica
19,环境其实挺小的，位置就在爱马仕背后那条巷子一直走到底，门口会有指示牌和％的标志。装修风格很简单，但是色调很舒服。去的时候是周末下午人很多，里面刚开始坐满了，外面坐着又热，所以站着等了一下就发现了空位，还是靠窗的。第一次来所以点了点评推荐第一的西班牙咖啡，去冰，标准糖。很合我的口味，奶味很足，甜味其实没有想象中的过甜，对我来说刚合适，咖啡奶和糖融合得很好，nice。50一杯，有点小贵，但因为好喝所以愿意再来。服务的话，点单的妹子没有特别亲切但是也没有特别不耐烦，取咖啡那里的小哥就很细心，吸管都是用纸巾包着插进杯子的，递给我的时候也用纸巾包着杯子，全程手和吸管没有接触，很好，目测是名日本小哥哥？不过没有问所以不太确定，服务给小哥哥满分💯,% Arabica
20,「冰拿铁」不建议牛奶换豆奶，很到位的奶咖。招牌的西班牙拿铁，随便一个咖啡师拉花都很漂亮，奶味都比较重，建议微糖。也很适合带一袋它家得豆子回去，连续下雨天得豆子也没酸味，喜欢重口星人的极度推荐，也可以让磨细。四五十一杯的奶咖性价比还可，出品至少是保持很稳定的，成都现在也有很多独立咖啡店，可以多尝试，踩雷与否全凭运气。,% Arabica
21,前几年在日本的时候，专程去打卡了这家网红咖啡馆。但是相比较我更爱blue bottle这家咖啡馆，因为更可爱更好看呀！哈哈哈哈！所以，中午成都开业这么久。我也是上周才去打卡。要知道刚开业那段时间。这家店可是被挤爆的节奏啊。现在热度已经褪去，没那多人了，店铺本来就不大，我周末早晨去的，所以到店直接点单，基本上没怎么等。【西班牙拿铁】45元 大杯【咖啡拿铁】45元大杯嗯，实话说我确实不懂咖啡，所以真的没喝出来具体有什么差别，细细品，感觉是有点不一样，但又说不清道不明，干脆不比较了，反正就是为了这个logo买单。嗯。重庆那家%的门店设计好漂亮哟！相比较成都就太平庸啦。,% Arabica
22,干净温润的咖啡馆，整面的玻璃正对中式意境的竹林窗牗🌿十足的混搭却又是恰到好处的和谐，还有几分窗台几净的明亮。一端入口处排队点单，一端有座位落座或者外带，整体有序不拥挤，相对于网红店，人不算多，算是很坐的住人的地方。朋友安利过很多次的西班牙拿铁，味道是真心不错味道香醇浓郁不苦涩，选个少糖口感刚刚好，可惜只有太古里这一家店，对没住周围的小伙伴不太友好,% Arabica
23,上一次喝百分号还是刚开业的时候，那个火爆程度简直了，当时都排队到太古里外面的过道上去了，如今来，点单模式和出咖啡的速度提高了几倍，手机点单避免烈日下暴晒排队，值得点赞。总觉得他家的咖啡豆香味比较浓厚，还有特有的西班牙豆子，一如即往的一杯冰拿铁，一扫夏日的疲乏。装修简约，干净，是太古里的一道独特小店。,% Arabica
24,这种闷得让你随时可以原地爆炸的天气，也是我在成都住了这么多年却爱不起来的原因，黑压压的天，感觉立马会下雨却一直下下不来…对，记得曾经有人说过我不会看成都的天，所以管你打雷下雨，与我何干～[薄荷]环境：这家百分号是去年底开张的吧，每次到太古里都看到好多人排队，店很小很小，白色的装修是我喜欢的，在爱马仕后面，室内的座位少到你觉得等位都会尴尬的地步，这种天气也不可能坐在外面，除非你想被热死，所以外带才是明智之举[服务铃]服务：从点单到等待、差不多还是花了不少时间、感觉大家都挺累的、面无表情到冷漠、戴着口罩从眼睛里看到的更是深邃的冷漠☕️咖啡：冬天开张的时候，和美宋还有lilier就讨论过这家店，她们还给我科普了一些关于这家店在别的城市的一些话题，但是老年人记性不好，啥也没记住，哈哈哈哈哈哈哈哈！辜负了科普！点了一杯大家吹爆的西班牙咖啡（冷）和冰拿铁，说实话入口没有那么惊艳，主要最近我爱去逛小众的咖啡厅，我觉得实话不如我之前写到的一两家，所以在我心里它只能是间空有其表的网红店，不会再在炎热的夏天去买它！,% Arabica
25,这家%Arabica分店在春熙路的太古里里面，也算是一个网红打卡的地方，可以提前在小程序下单，记得也要积杯数，好像是10杯换一杯吧。「冰美式综合豆」综合豆会比单豆酸点，是40块吧。价格来说，还是挺贵的。但是味道还不错。平常美式好像是20块左右。,% Arabica
26,位置📍在太古里的商铺，就沿着爱马仕平行着公路往前走，经过客从何处来再往前就能看见了，还是很好找的。环境🌳店面装修的风格还是可以，网红风，反正还是挺适合拍照打卡的，但是店里面很小，随时都很打挤，毕竟也还是比较火，所以来太古里很多人都要去买了坐着喝一杯，所以还是比较挤的。但是外面也有坐的位置，不过大夏天，中午下午。。还是算了吧带走了喝吧。服务💁服务还是很不错的。虽然人多，小哥还是耐心的。不像某些店家，算了不点名，但是也算不上特别好。口味🍼「燕麦拿铁」味道还是很醇厚的，喝起来还是比较香的，是我这种喝奶咖的人能接受的。但是说实话，这种醇厚还是比较一般的哈（成都很多咖啡店都能做出来甚至更好。）但是朋友给我说他们家还是喝美式好一点，那下次，再去买一杯美式？？害再说吧。,% Arabica
27,打卡成都太古里的% Arabica，位置比较偏，虽然没有在中心位置，但是还是比较好找。他们家每次去，都满座。最喜欢他家的装修风格，很简约时尚，一点多余和繁琐的感觉都没有。他家的拿铁特别好喝，非常喜欢。值得推荐。,% Arabica
28,香港店和上海店真是排队排到哭起源于日本京都，不得不说那边的环境真的好到没话说，这家店门口做了一个植物墙，植物墙底部是假花艺，植物是真植物「冰拿铁咖啡」拉花很漂亮，口感还不错，但是提供的水不是纯净水，比较减分疫情期间外带,% Arabica
29,抹茶系列之网红咖啡%喝过两次了，每次来我都是点的抹茶拿铁，是我喜欢的味道，不甜，微苦～带点苦味是它家咖啡的特点，我觉得比星爸爸好喝～一进它家就是很浓的咖啡味，还有买各种咖啡豆的，我不大，小小的，只要是和日本相关的那么风格都是很小清新，简朴，有质感那种。所以它家是很多小姐姐拍照的地了,% Arabica
30,[薄荷]环境：环境的话里面相对比较干净凉快「抹茶拿铁」点的冰抹茶感觉味道还可以 不是很甜口的味道[服务铃]服务：有要一杯冰水 也很快很贴心的给了,% Arabica
31,每次去太古里都要喝一杯Arabica的咖啡才能过瘾，位子不是很好找，在好角落里面，但是每次去都会有好多人。服务很好，每次不知道点什么小哥哥都会耐心亲切的推荐，他们的豆子非常香，最喜欢西班牙咖啡。香浓口感舒适,% Arabica
32,网红咖啡店，在太古里的一个角落，跟着导航还是好找。工作日的晚上去，人不多。整个店很清爽干净，外面还有几张桌子可以坐。可以选择的咖啡种类不多，点了西班牙拿铁和浓缩咖啡。回味很香，拉花也漂亮。个人觉得冰拿铁更好喝。,% Arabica
33,疫情下的百分百，和星巴克完全不一样的味道,% Arabica
34,终于来了成都的arabica！开业之前围着装修的时候就经过了好多次，开业了后拖到现在才来疫情期间人气还是很高，不过室内座位限制了人数，最多坐八个人点了一杯大杯单品豆冰美式，价格确实比其他地方高，40一杯，味道偏酸，个人觉得纸吸管有点影响风味。。如果是为了环保的话杯子为什么是塑料的呢环境和服务都不用说，点单员还提醒可以微信扫码积分，下次来试试奶咖，据说奶咖比较出名,% Arabica
35,个人最喜欢的咖啡口味，没有之一。,% Arabica
36,世界级网红咖啡% Arabica在成都已经开业有段时间了，听说要排队，一直都没来，前几天正好在附近办事，找了个时间来喝，看看到底有多好喝，买的最火爆的西班牙拿铁和燕麦拿铁，热的，味道还可以，买满十杯送一杯,% Arabica
37,网红打卡，前台小哥哥非常热情且专业，如沐春风。装修风格白色基调为主，素雅清新，近几年比较流行。咖啡的香味很浓，名不虚传，连我这种不常喝咖啡的外行都能感觉出来的醇厚在舌底绵绵悠长，值得推荐。唯一美中不足就是场地确实太小了，也是太古里寸土寸金的缘故吧。。。,% Arabica
38,天气好下午去太古里喝杯咖啡，疫情期间人也还蛮多的，但是不排队…限制了座位，所以座位稀少…「秒杀星爸爸的西班牙拿铁」第一个感觉奶很重，五分糖糖度刚好，因为用的炼奶本来有点甜…奶香丝滑，我个人还更偏向咖啡味重一点的…但是确实比很多好喝，下次试试其他的…,% Arabica
39,他家咖啡真的也太好喝了吧～logo好看 高端 咖啡也很有品质太古里西里一层 比较靠近里面 人还蛮多的 推荐推荐！,% Arabica
40,高端网红咖啡厅开在成都～最早知道这个牌子开在香港 后来听说北京开了 还没来得及体验就在成都太古里偶遇了 首先特别喜欢店面这种简单干净的装修风格 就像它的logo一样简单 然后是咖啡的品质和味道 绝对是高端的品质了,% Arabica
41,日本的超级网红点终于来到了成都，好像重庆的万象城也已经围挡了哦！开来扩张开店很快嘛！其实阿拉比卡在深圳湾已经喝过了，不过那家店确实好小哦，成都太古里这家就大多了。特意一大早过来就是为了当第一个客人，哈哈！结果到得早了几分钟店还没开，确实是第一个到的客人，但是第二个点单的客人，唉！2002号，拿铁一杯，哈哈。【环境】店的位置在太古里算比较偏的，客从何处来的那个方向，在背后的一家店，不容易路过，得特别找。反正我是靠客从何处来找到的，看到了客从何处来继续往前走大概100米就到了。先看到外摆区域，然后室内挺大的，都是白色为主，还是极简的感觉，简简单单，清清爽爽，为了不那么压抑，里边靠墙全部装上了玻璃，瞬间扩大一倍面积的感觉呀！也不会让靠窗客人觉得在面壁了，哈哈！【味道】还是要的拿铁，30一杯，价格比星巴克便宜一丢丢，味道也挺好的。店里也有周边产品售卖，感觉周边产品就特别贵啦。【服务】服务就是正常吧。,% Arabica
42,这个阿拉比卡咖啡最早好像是开在日本京都的 在成都也开了一间成了太古里的网红咖啡店 人真多很多 潮人们爱咖啡的都会去吧 点了西班牙燕麦咖啡☕️ 加了炼乳的这款甜度还不错 咖啡太甜就不OK了啦 服务也还可以就是价格偏太高了。,% Arabica
43,🐾🐾🐾今日咖啡打卡 ——%Arabica📍📍📍地址：中纱帽街8号成都远洋太古里一层1115(KABB旁，西里西街)🈺🈺🈺营业时间：10:00-20:00自从京都回来之后小典心就一直心心念念%Arabica「秒杀星爸爸的西班牙拿铁」浓郁香醇～大小杯只是牛奶的分量不同，咖啡都是相同的量哟🏼🏼🏼💁🏻‍♂️推荐指数：4.5颗星星🌟🌟🌟🌟➕,% Arabica
44,作为咖啡上瘾症者，每天必喝咖啡。复工第一天，第一时间来喝。点一杯冰拿铁，啡香与奶香很好的混合在一起。入口后奶香第一时间到达味蕾，之后回甘咖啡味立显。咖啡第一杯首选。店里人不多，大家买完都会外带走。,% Arabica
45,疫情期间大年初五顶风作案跟两个朋友来喝的，也是我第一次喝百分号，两个朋友都是很时尚早就喝过了，不敢相信已经是一个多月前了，宅家时间怎么也这么快啊，那个时候好多铺子都没开哦，打电话打到%发现开起的真的感动听的朋友的，要的西班牙拿铁，就是拿铁加了min甜的糖浆不管是地理位置，店铺装修，口味，都是🉑️的，但真的太贵了哈，算是咖啡届价格在金字塔上面那一层的,% Arabica
46,网红咖啡没错了。就环境而言，但也不算堂食friendly。口味而言，比星巴克好喝，但考虑这个价格，没人请客的话，更宁愿多走几步去common sense或者自带杯去manner打咖啡。开了几个月之后也不用排队了。,% Arabica
47,想到人少就过来了，只能网上点单，一杯冰西班牙拿铁和普通拿铁，共90，非常昂贵，店员说都是用的低卡的豆子做的，口感的话咖啡味没那么重，也更丝滑，但我不会再去了，太贵了,% Arabica
48,%Arabica品牌不用说了，等了好久，终于来了成都，可惜排队实在是多，好不容易一天深夜成功打卡，燕麦拿铁很好喝，开心。店里和店外都有位置，营业时间也挺长的，可以跟朋友在人少的时候坐在店里喝咖啡真是非常美好呢。,% Arabica
49,总体感受✍🏻：                      名气大于产品本身吧——————————————————————环境🏡:              装修风格很好看呀 拍照也好看 陈列也好看花费💰：              40菜品点评🥢：                     不喜甜咖 所以放弃了西班牙拿铁                     选了冰拿铁去冰 这家去冰是真的去冰！！                     不知道用的什么牌子的牛奶 感觉略甜                     味道说不上惊艳 但也可以尝试服务💁🏻‍♀️💁🏻‍♂️：                   不错 会指引公众号点餐,% Arabica
50,总体来说我觉得还是比较一般，应该就是品牌效应吧，开在太古里，很多人排队，咖啡价格还是比较贵，味道偏甜【个人建议不要再另外加奶和糖了，真的过于甜了】包装好看，感觉那么贵的价格就是买了好看的包装，专门打卡还是就不用了,% Arabica
51,很久前听说的咖啡品牌，源于香港，崛起于日本。[薄荷]环境：整体风格很小清新，有点无印良品风格，原木配白色，很多留白，特别适合拍小清新的照片。[服务铃]服务：服务还不错，都是小哥哥些，感觉蛮亲切的，也不会等太久。早上去不会排队很久哟,% Arabica
52,平时排队人挤人的网红咖啡店，特殊时期也有很多人来打卡。最好评的还是西班牙拿铁，咖啡☕️味道浓醇。闲逛过来打个卡还是可以的，定价还是较高。,% Arabica
53,特殊时期新春的% coffee，爱上咖啡，有人喜欢苦中作乐开在太古里的ins工业风（位置有点不太好找），在上海平常人山人海~也算是头次体验了空点的感觉。一杯普通拿铁和一杯西班牙拿铁。普通的没有特别出奇~西班牙拿铁口感不涩，略微偏甜，可能是加了炼乳的关系，绵柔的口感，没错，是我的菜。,% Arabica
54,据说是网红咖啡店☕开业这么久终于抽时间来打卡，店面ins风 排队时间不是很长。下午点个咖啡还是很安逸的。「冰拿铁」口味很赞 喝咖啡一直喜欢喝冰的 这杯不是很浓但是口感非常好「燕麦拿铁」有很浓的谷香味 值得推荐哦。总体上非常不错 推荐打卡,% Arabica
55,[薄荷]环境：位置真的太隐蔽了 在一条小巷子深处简约风格 店面有些小 座位不多 坐着也不是很舒服 可能是生意太好 不想让人在那儿坐太久吧哈哈哈哈「燕麦拿铁」加的燕麦奶 不是太懂咖啡 味道没有太特别 网红店大概就是来体验一下,% Arabica
56,春节期间为数不多的开门的咖啡店，常规的单品豆子都有售卖。拼配和soe的豆子这今天无货。疫情的原因，位于太古里的%人比往常少了很多，自然也不没有排队，可以沐浴在阳光里慢慢选择，挑几款豆子，带回去在宅生活里续命。,% Arabica
57,从香港到杭州厦门，Arabica咖啡来到成都，位置就在成都太古里爱马仕旁边，对于咖啡爱好者来说，这也是一个特别值得开心的事情，去的时候人比较多，排队等了半小时后带走饮用的，口感跟之前喝的差不多，下次还会再来。,% Arabica
58,好想念我的西班牙拿铁啊啊啊啊！！！什么时候才能回成都呢…只能静静的在朋友圈看着朋友们…我也默默的云喝一口吧…还好重庆这边也要在万象城开业了…虽然这段时间工期应该也被迫延后了…但也是满心期待…西班牙拿铁…爱不完,% Arabica
59,种草已久，大名鼎鼎的一家咖啡店。环境设计风格简约，但没什么大的特色和创意，属于走过路过就忘记的那种。唯一让人留下深刻印象的就是价格，真心不便宜呀，而且份量很小杯。店内人很多，年轻妹纸居多。味道说实话不是很对我的味口，但口感比较一般，咖啡香度也不惊艳，口味比较偏腻，燕麦味儿偏重，但咖啡不会放糖，这点个人比较喜欢。服务就一般般，不出彩也不出错。,% Arabica
60,疫情期间 没想到这家还开门啦网红店果然不一般 这个时期都很多人 小排队 比起之前听说的大排队还是好很多了不然真的没耐心排那么久点了西班牙拿铁 加了炼乳 有点点腻性价比来说 还是有一丢丢贵 40一杯反正喝都喝了 哈哈哈,% Arabica
61,刚开业就想去打卡的一家店人气超级高了！正好去附近买买买就跑去吸一杯咖啡了整个都是性冷淡风的装修怎么拍怎么好看我喜欢喝甜一点的咖啡很推荐西班牙拿铁！不苦不腻特别香！还可以买点咖啡都带回家～值得一去哦～,% Arabica
62,妥妥的网红咖啡店咖啡爱好者正好在附近就必定去跟跟风啦~生意果然极好 开了这么久 依然热度不减啊可以看到店里外很多漂亮小姐姐 各种拍照依然点了拿铁 喝不出多特别的味道和口感 但是也不错喝 如果专门赶过来买的话就没必要咯,% Arabica
63,【VIP有特权】【打卡网红咖啡】🌈被大众爸爸强力推荐过来的 网红咖啡 确实名不虚传 排队的人超级多他们那家的咖啡小杯的真的真的超级小 真的是一口就可以喝完 所以点了中杯的 虽然量也不多 但是口味确实不错 而下午喝了后到凌晨三点都睡不着,% Arabica
64,喜欢的口味告诉咖啡师，她会帮忙选择适合的口味.,% Arabica
65,这...还以为这段时间不会有人，结果喝咖啡的人都聚集过来了,% Arabica
66,在苦闷滴疫情期间可以喝上一杯真心解压  人很少可能好多人都不知道已经开始营业了吧  无需等待，买单＋拿咖啡☕️最多5.6分钟 对比之前傻等半小时真是太爽歪歪啦  「西班牙拿铁」甜度喜欢٩(๑^o^๑)۶                               豆香完美٩(๑^o^๑)۶,% Arabica
67,排队……排队……排队……每次都看到在排队，这应该足以证明味道还是可以的吧。「秒杀星爸爸的西班牙拿铁」赶上排队的人少一些，点了单要等10多分钟才能拿到，味道不错，应该是宇智牛奶搭配体现出浓厚的味道吧，总体感觉🉑️，稍贵，不过还可以接受。,% Arabica
68,在太古里分方便找到性冷淡风的店面，简洁不简单，很多的小细节慢慢发现就会很有惊喜感咖啡味道醇厚，个人觉得比星爸爸好喝很多，口感更浓醇，当然价格也比星爸爸小贵一点店面不是很大，座位没有靠背，不是很适合久坐，重庆马上也要开店了，开心,% Arabica
